on x=-44..7,y=-48..-4,z=-28..22
on x=-14..37,y=-31..23,z=-46..0
on x=-2..42,y=-40..5,z=-15..34
on x=-6..40,y=-46..8,z=-4..43
on x=-14..40,y=-22..28,z=-39..15
on x=-26..18,y=-36..18,z=-22..24
on x=-1..46,y=-14..39,z=-6..47
on x=-9..43,y=-19..35,z=3..49
on x=-2..49,y=-19..35,z=-44..9
on x=-14..31,y=-31..23,z=-15..37
off x=-15..0,y=10..20,z=-1..11
on x=-13..39,y=-7..40,z=-16..29
off x=-36..-23,y=-22..-7,z=22..32
on x=-42..8,y=-27..23,z=-24..22
off x=30..44,y=-6..11,z=-25..-12
on x=-14..37,y=-20..31,z=-27..19
off x=-11..7,y=24..39,z=-49..-36
on x=-40..7,y=-46..2,z=-8..36
off x=-28..-9,y=9..19,z=-3..13
on x=-32..19,y=-46..4,z=-10..35
on x=-57669..-47415,y=-34767..-16398,z=30569..62270
on x=-26838..-18058,y=-44045..-32246,z=-69820..-54662
on x=23944..45874,y=-56447..-36843,z=51476..78050
on x=-60295..-37768,y=15477..31617,z=-62436..-53796
on x=7279..37283,y=-14827..827,z=-81548..-71878
on x=14873..45919,y=-55604..-29161,z=-73563..-62510
on x=8304..25869,y=60634..75835,z=-38723..-10959
on x=10010..30443,y=-27861..-18913,z=75221..96082
on x=-19174..1724,y=-1716..15662,z=-83027..-75955
on x=2933..9957,y=51319..54072,z=43068..71431
on x=-54485..-38845,y=-59089..-33388,z=39472..59916
on x=44991..60045,y=39800..52961,z=-50242..-11489
on x=29344..48984,y=-12037..3869,z=-80327..-68023
on x=-32654..1023,y=30977..64895,z=52313..68196
on x=-61627..-36736,y=-16352..-227,z=59819..74021
on x=-70800..-32442,y=-60912..-27524,z=-53014..-34685
on x=37172..54896,y=-33170..-23103,z=39779..62817
on x=33016..45483,y=-29966..-21595,z=61920..75220
on x=40062..58134,y=-66288..-45661,z=-13163..4407
on x=48899..63190,y=-40057..-19858,z=-57642..-39508
on x=-13394..5479,y=-33828..-8938,z=-81107..-59473
on x=-53077..-46727,y=26122..44435,z=41182..56258
on x=-882..34139,y=72487..90656,z=1449..34384
on x=-55069..-25492,y=57603..60372,z=27312..37818
on x=11637..35186,y=-2112..35130,z=-82659..-58284
on x=-1963..19390,y=31372..43852,z=55664..78279
on x=-37450..-13706,y=56862..79450,z=42506..58352
on x=-11194..7926,y=-54868..-41855,z=59371..69838
on x=-68076..-47918,y=-7134..19211,z=54036..59607
on x=56398..65176,y=9373..35857,z=-59779..-33781
on x=-29722..-13167,y=52154..61111,z=34337..71865
on x=-41452..-21137,y=38656..58801,z=-74267..-49536
on x=29554..32383,y=-16535..13186,z=68589..83493
on x=11565..19985,y=-66635..-51018,z=40523..55317
on x=-16115..8224,y=-93747..-59306,z=-30707..-16928
on x=41464..62560,y=28328..43290,z=49899..69729
on x=-78292..-62498,y=-26428..-963,z=33334..43746
on x=-62268..-27494,y=52017..78451,z=-27229..-9290
on x=74538..81687,y=-6868..9462,z=-42485..-7405
on x=-70139..-51493,y=33391..58326,z=-47685..-18900
on x=-15600..-10169,y=-76996..-58016,z=26710..50743
on x=-38135..-33369,y=-68467..-37987,z=-68299..-34906
on x=-32926..-12278,y=-17049..5935,z=71187..95480
on x=-68775..-38703,y=31347..51664,z=-66756..-28690
on x=-17763..-444,y=-25060..-9321,z=-82848..-59956
on x=9259..34670,y=-63918..-46717,z=-62805..-36148
on x=-38860..-17888,y=-83191..-60240,z=15932..31388
on x=-27738..-12501,y=-58688..-48917,z=50240..63344
on x=-9552..12298,y=-82967..-63566,z=-31665..-8131
on x=-3262..23176,y=-8404..-682,z=68987..87074
on x=-492..24054,y=76438..84125,z=-3124..15757
on x=-6636..23517,y=24061..51082,z=58265..80778
on x=-11300..13852,y=36935..72289,z=54439..75741
on x=-36722..-5253,y=38765..48140,z=60050..80209
on x=-68641..-42826,y=10138..20406,z=-48840..-38994
on x=37946..71780,y=-11716..-3224,z=-76794..-53565
on x=14937..42416,y=-74948..-54941,z=17561..31037
on x=-61298..-48316,y=21641..32156,z=38100..61810
on x=33337..44565,y=-61197..-41116,z=-63088..-42095
on x=55485..80696,y=-12185..7524,z=38733..61721
on x=19994..48088,y=-63968..-29433,z=34529..51173
on x=57918..85515,y=-896..14685,z=-34920..-21663
on x=-28290..-18544,y=-74670..-62248,z=-33511..-13509
on x=-91602..-59099,y=-28478..5896,z=-22843..268
on x=47808..64741,y=-62234..-56202,z=-34499..-15875
